post_id,caption,timestamp,likes,comments,views,media_type,hashtags,engagement_rate,hour,caption_length,caption_bin,weekday,has_emoji
3419126402220480132,Summer’s biggest stage is set #YouGotThis,2024-07-24 09:07:41,0,2508,225651,GraphVideo,['YouGotThis'],0.01111445943310939,9,41,0–50,Wednesday,False
3416167398237405263,"let the show begin ✨
welcome to the /// fam, Aitana.

que comience el espectáculo ✨
bienvenida a la /// fam, Aitana.",2024-07-20 07:01:50,0,1591,0,GraphSidecar,[],1591.0,7,116,101–150,Saturday,True
3468006039011638188,"Run it back… all over again ⏮️ 

Tigist Ketema delivered something special at the 50th @berlinmarathon. And it was never in doubt 🌟💪 

#adizero #YouGotThis",2024-09-29 19:37:07,0,46,93871,GraphVideo,"['adizero', 'YouGotThis']",0.0004900289756263849,19,155,151+,Sunday,True
3467734790930696461,"Berlin is HERS 🌟💪

Tigist Ketema adds her name among the major-winning greats in 2:16:42, taking the 50th @berlinmarathon 🎉

👟 #adizero Adios Pro Evo 1 

#YouGotThis",2024-09-29 10:37:02,0,83,0,GraphSidecar,"['adizero', 'YouGotThis']",83.0,10,165,151+,Sunday,True
3467268511648401312,"We’ve changed the world together, one record at a time. Here’s to the next 50 years @berlinmarathon 🤝🫶 

#YouGotThis #adizero",2024-09-28 19:11:51,0,38,57499,GraphVideo,"['YouGotThis', 'adizero']",0.0006608695652173914,19,125,101–150,Saturday,True
3466931373774975853,Made like nothing. Feels like nothing. Looks like nothing. Introducing Climacool.,2024-09-28 08:00:47,0,261,0,GraphSidecar,[],261.0,8,81,51–100,Saturday,False
3466900038054250182,Introducing Climacool. Unlocking possibilities 🤝,2024-09-28 07:00:05,0,109,70595,GraphVideo,[],0.001543996827015695,7,48,0–50,Saturday,True
3465005511295005087,Ignore the noise. #YouGotThis,2024-09-25 16:16:08,0,190,160320,GraphVideo,['YouGotThis'],0.0011851223482887458,16,29,0–50,Wednesday,False
3463547364087960533,It’s only a kick. #YouGotThis,2024-09-23 16:05:44,0,120,85583,GraphVideo,['YouGotThis'],0.0014021312394840158,16,29,0–50,Monday,False
3462821031616393164,"We’ve been built for this. 

The adidas Basketball Family is ready for the 2024 WNBA Playoffs.
 
#WNBAPlayoffs #adidasBasketball",2024-09-22 15:54:16,0,37,0,GraphSidecar,"['WNBAPlayoffs', 'adidasBasketball']",37.0,15,128,101–150,Sunday,False
3457856364104818607,"For The Cup 🏆
Rose Zhang becomes just the 4th American to go 4-0 at the Solheim Cup. 

Congratulations @rosezhang and Team USA 🇺🇸",2024-09-15 19:30:22,0,31,0,GraphImage,[],31.0,19,129,101–150,Sunday,True
3454153570792664328,"Before they face off this week, @rosezhang and @linngrant tested each other in a different  golf challenge that covered multiple sports in the US and Europe with only a golf ball.
 
They’ll take on 🏀, 🏈, ⚽️, 🏏 and more using every shot in their bag to bring this one home. 

Watch the full video on YouTube, hosted by @miaellax. Link in bio and on stories.
 
Who you got?⬇️",2024-09-10 17:06:28,0,69,104291,GraphVideo,[],0.0006616039581175929,17,373,,Tuesday,True
3452050786383705199,"Champions Only. 🙌 @ksholloway wins Gold at the #Paris2024 Paralympics in the Women’s Sitting Volleyball 🏐🔥🥇

#YouGotThis",2024-09-07 19:15:43,0,66,0,GraphSidecar,"['Paris2024', 'YouGotThis']",66.0,19,120,101–150,Saturday,True
3451046736682051471,"History maker. Another gold for the most decorated @paralympicsgb_official athlete ever.

#YouGotThis #Paris2024",2024-09-06 10:00:51,0,32,0,GraphImage,"['YouGotThis', 'Paris2024']",32.0,10,112,101–150,Friday,False
3450579774491162015,"Rebecca Cheptegei 🕊️

Today we tragically lost an Olympian marathon runner, a national record holder, a worldwide respected athlete and the pride of Uganda. 

We are deeply saddened by the devastating news about Rebecca. We have zero tolerance for hate and violence against women.",2024-09-05 18:33:05,0,706,0,GraphImage,[],706.0,18,280,151+,Thursday,True
